Order_ID,Order_Date,Product,Category,Quantity,Price,Total_Sales,Month
1001,2025-01-01 00:00:00.000000000,Power Bank,Accessories,1,33211,33211,January
1002,2025-01-04 16:14:32.727272727,Headphones,Accessories,1,6039,6039,January
1003,2025-01-08 08:29:05.454545454,External Hard Disk,Storage Devices,1,42905,42905,January
1004,2025-01-12 00:43:38.181818181,Router,Mobile Accessories,3,48854,146562,January
1005,2025-01-15 16:58:10.909090909,Printer,Storage Devices,1,3057,3057,January
1006,2025-01-19 09:12:43.636363636,Keyboard,Storage Devices,4,38860,155440,January
1007,2025-01-23 01:27:16.363636363,External Hard Disk,Mobile Accessories,5,16982,84910,January
1008,2025-01-26 17:41:49.090909090,Smart Watch,Electronics,1,2700,2700,January
1009,2025-01-30 09:56:21.818181818,Power Bank,Storage Devices,3,47440,142320,January
1010,2025-02-03 02:10:54.545454545,Monitor,Networking,3,3461,10383,February
1011,2025-02-06 18:25:27.272727272,Tablet,Networking,1,47475,47475,February
1012,2025-02-10 10:40:00.000000000,Power Bank,Accessories,5,21857,109285,February
1013,2025-02-14 02:54:32.727272727,Printer,Networking,1,12469,12469,February
1014,2025-02-17 19:09:05.454545454,Printer,Accessories,3,3369,10107,February
1015,2025-02-21 11:23:38.181818181,Keyboard,Electronics,2,47260,94520,February
1016,2025-02-25 03:38:10.909090909,Smart Watch,Mobile Accessories,4,29143,116572,February
1017,2025-02-28 19:52:43.636363636,Headphones,Mobile Accessories,3,25236,75708,February
1018,2025-03-04 12:07:16.363636363,Keyboard,Mobile Accessories,1,38967,38967,March
1019,2025-03-08 04:21:49.090909090,Keyboard,Networking,4,23828,95312,March
1020,2025-03-11 20:36:21.818181818,Tablet,Electronics,1,26376,26376,March
1021,2025-03-15 12:50:54.545454545,Bluetooth Speaker,Networking,1,21795,21795,March
1022,2025-03-19 05:05:27.272727272,Smart Watch,Networking,2,4487,8974,March
1023,2025-03-22 21:20:00.000000000,Mobile,Electronics,4,22899,91596,March
1024,2025-03-26 13:34:32.727272727,Keyboard,Electronics,4,46714,186856,March
1025,2025-03-30 05:49:05.454545454,Webcam,Electronics,2,34486,68972,March
1026,2025-04-02 22:03:38.181818181,USB Flash Drive,Electronics,3,21380,64140,April
1027,2025-04-06 14:18:10.909090908,Bluetooth Speaker,Mobile Accessories,1,5235,5235,April
1028,2025-04-10 06:32:43.636363636,Mobile,Computer Peripherals,5,44564,222820,April
1029,2025-04-13 22:47:16.363636363,Webcam,Computer Peripherals,1,5055,5055,April
1030,2025-04-17 15:01:49.090909090,Smart Watch,Electronics,1,42414,42414,April
1031,2025-04-21 07:16:21.818181818,Laptop,Computer Peripherals,3,41318,123954,April
1032,2025-04-24 23:30:54.545454544,Webcam,Computer Peripherals,1,46025,46025,April
1033,2025-04-28 15:45:27.272727272,Monitor,Electronics,2,20330,40660,April
1034,2025-05-02 08:00:00.000000000,Bluetooth Speaker,Computer Peripherals,2,17929,35858,May
1035,2025-05-06 00:14:32.727272726,External Hard Disk,Networking,4,7393,29572,May
1036,2025-05-09 16:29:05.454545454,Webcam,Accessories,5,14873,74365,May
1037,2025-05-13 08:43:38.181818180,Mouse,Accessories,1,47833,47833,May
1038,2025-05-17 00:58:10.909090908,Laptop,Electronics,1,3936,3936,May
1039,2025-05-20 17:12:43.636363636,Printer,Mobile Accessories,3,9254,27762,May
1040,2025-05-24 09:27:16.363636362,Printer,Electronics,2,11177,22354,May
1041,2025-05-28 01:41:49.090909090,Router,Mobile Accessories,5,6395,31975,May
1042,2025-05-31 17:56:21.818181818,Monitor,Accessories,4,20238,80952,May
1043,2025-06-04 10:10:54.545454544,Webcam,Electronics,2,31246,62492,June
1044,2025-06-08 02:25:27.272727272,Webcam,Storage Devices,4,49877,199508,June
1045,2025-06-11 18:40:00.000000000,Router,Networking,3,48904,146712,June
1046,2025-06-15 10:54:32.727272726,USB Flash Drive,Computer Peripherals,3,32852,98556,June
1047,2025-06-19 03:09:05.454545454,USB Flash Drive,Mobile Accessories,1,40290,40290,June
1048,2025-06-22 19:23:38.181818180,Router,Storage Devices,5,42419,212095,June
1049,2025-06-26 11:38:10.909090908,USB Flash Drive,Computer Peripherals,4,6100,24400,June
1050,2025-06-30 03:52:43.636363636,Tablet,Computer Peripherals,2,29624,59248,June
1051,2025-07-03 20:07:16.363636362,Webcam,Electronics,3,28143,84429,July
1052,2025-07-07 12:21:49.090909090,Power Bank,Computer Peripherals,1,41264,41264,July
1053,2025-07-11 04:36:21.818181816,Headphones,Networking,1,9507,9507,July
1054,2025-07-14 20:50:54.545454544,Mouse,Storage Devices,4,46214,184856,July
1055,2025-07-18 13:05:27.272727272,Tablet,Computer Peripherals,3,37910,113730,July
1056,2025-07-22 05:19:59.999999998,Smart Watch,Electronics,5,44580,222900,July
1057,2025-07-25 21:34:32.727272726,Tablet,Networking,3,40947,122841,July
1058,2025-07-29 13:49:05.454545452,Power Bank,Accessories,4,8708,34832,July
1059,2025-08-02 06:03:38.181818180,Smart Watch,Storage Devices,4,19089,76356,August
1060,2025-08-05 22:18:10.909090908,Mouse,Computer Peripherals,3,43984,131952,August
1061,2025-08-09 14:32:43.636363636,Power Bank,Electronics,4,17953,71812,August
1062,2025-08-13 06:47:16.363636364,Mobile,Accessories,3,36712,110136,August
1063,2025-08-16 23:01:49.090909088,Headphones,Accessories,2,44025,88050,August
1064,2025-08-20 15:16:21.818181816,Mouse,Mobile Accessories,3,47702,143106,August
1065,2025-08-24 07:30:54.545454544,Webcam,Networking,3,33135,99405,August
1066,2025-08-27 23:45:27.272727272,USB Flash Drive,Computer Peripherals,4,34328,137312,August
1067,2025-08-31 16:00:00.000000000,Mobile,Electronics,4,19211,76844,August
1068,2025-09-04 08:14:32.727272724,Monitor,Mobile Accessories,1,3920,3920,September
1069,2025-09-08 00:29:05.454545452,Mouse,Networking,1,31716,31716,September
1070,2025-09-11 16:43:38.181818180,Monitor,Mobile Accessories,2,801,1602,September
1071,2025-09-15 08:58:10.909090908,Smart Watch,Storage Devices,1,45736,45736,September
1072,2025-09-19 01:12:43.636363636,Mobile,Networking,3,1199,3597,September
1073,2025-09-22 17:27:16.363636360,Headphones,Networking,4,690,2760,September
1074,2025-09-26 09:41:49.090909088,Webcam,Computer Peripherals,1,10992,10992,September
1075,2025-09-30 01:56:21.818181816,Router,Networking,1,36243,36243,September
1076,2025-10-03 18:10:54.545454544,Webcam,Mobile Accessories,2,6602,13204,October
1077,2025-10-07 10:25:27.272727272,Power Bank,Networking,2,20278,40556,October
1078,2025-10-11 02:40:00.000000000,Webcam,Computer Peripherals,3,27141,81423,October
1079,2025-10-14 18:54:32.727272724,External Hard Disk,Computer Peripherals,4,35084,140336,October
1080,2025-10-18 11:09:05.454545452,Keyboard,Storage Devices,2,33245,66490,October
1081,2025-10-22 03:23:38.181818180,Router,Mobile Accessories,1,23593,23593,October
1082,2025-10-25 19:38:10.909090908,Tablet,Accessories,4,1069,4276,October
1083,2025-10-29 11:52:43.636363636,USB Flash Drive,Accessories,4,38710,154840,October
1084,2025-11-02 04:07:16.363636360,Laptop,Networking,1,35163,35163,November
1085,2025-11-05 20:21:49.090909088,Headphones,Storage Devices,2,37131,74262,November
1086,2025-11-09 12:36:21.818181816,Mobile,Electronics,1,46181,46181,November
1087,2025-11-13 04:50:54.545454544,Keyboard,Networking,4,7955,31820,November
1088,2025-11-16 21:05:27.272727272,Headphones,Storage Devices,5,4514,22570,November
1089,2025-11-20 13:20:00.000000000,Mobile,Mobile Accessories,5,11593,57965,November
1090,2025-11-24 05:34:32.727272724,USB Flash Drive,Mobile Accessories,3,18570,55710,November
1091,2025-11-27 21:49:05.454545452,Bluetooth Speaker,Mobile Accessories,1,36277,36277,November
1092,2025-12-01 14:03:38.181818180,Bluetooth Speaker,Mobile Accessories,1,17038,17038,December
1093,2025-12-05 06:18:10.909090908,Monitor,Mobile Accessories,3,11229,33687,December
1094,2025-12-08 22:32:43.636363636,Headphones,Storage Devices,3,34677,104031,December
1095,2025-12-12 14:47:16.363636360,Bluetooth Speaker,Storage Devices,3,45517,136551,December
1096,2025-12-16 07:01:49.090909088,External Hard Disk,Computer Peripherals,4,1284,5136,December
1097,2025-12-19 23:16:21.818181816,Router,Accessories,1,28251,28251,December
1098,2025-12-23 15:30:54.545454544,Mobile,Mobile Accessories,4,41364,165456,December
1099,2025-12-27 07:45:27.272727272,Monitor,Electronics,3,40828,122484,December
1100,2025-12-31 00:00:00.000000000,Webcam,Storage Devices,1,13033,13033,December
